video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/shorts/3ZgJzcUfejU,/@jaycameronofficial,Passport To Purpose with Jay Cameron,Black Americans Don't Have A Culture?,103K,11 months,Watch the full episode on Maximum Impact with Jay Cameron on YouTube at aycameronofficial (on IG and Facebook) Watch the ...,2026-01-22 01:01:38.268979
/watch?v=aVa2TsV9hh4&pp=ygUNYmxhY2sgY3VsdHVyZQ%3D%3D,/@ComedyCentral,Comedy Central,The Best Of “I Know Black People” – Chappelle’s Show,7M,4 years,"Dave assembles a diverse group of contestants to find out how much they know about African-American culture on ""I Know Black ...",2026-01-22 01:01:38.271849
/shorts/ZlyU3dQ0_M0,/@HigherLearning,Higher Learning,The Blaccent & Gatekeeping Cultures | Higher Learning | The Ringer #blaccent #blackculture,12K,2 years,For more from The Ringer: Shop: https://theringer.com/shop Website: http://theringer.com Twitter: https://twitter.com/ringer ...,2026-01-22 01:01:38.273025
/watch?v=1CHTlULRGzU&pp=ygUNYmxhY2sgY3VsdHVyZQ%3D%3D,/@tytsports,TYT Sports,Dave Chappelle Nails Why MAGA Fears Black History,1.2M,3 months,A resurfaced Dave Chappelle bit about legendary Black heavyweight champion Jack Johnson perfectly captures why MAGA's ...,2026-01-22 01:01:38.274209
/shorts/7QvIW2zKPBM,/@williedliveconversations,Willie D Live Conversations,Godfrey On How To Change The Narrative Of Black Culture In The Media,7.8K,10 days,Subscribe To The Willie D Live Audio Podcast at: https://podcasters.spotify.com/pod/show/williedlivepodcast Artist Activist Investor ...,2026-01-22 01:01:38.276307
/shorts/guFotu2SHQs,/@BlackSummitPodcast,Black Summit Podcast,The Truth About Black Culture ￼#blackculture #music #blackyoutube,1.3K,11 hours,"Rock, Jaz, country, hip-hop we're all created by Black people.",2026-01-22 01:01:38.279300
/shorts/zRdT-tTf0DQ,/@2PointsHoops,2 Points Hoops,Respect Black Culture: Avoid Internet Footprint Mistakes #shorts,946,18 hours,Navigating Black culture online requires respect and understanding. Your internet footprint matters; past actions can define ...,2026-01-22 01:01:38.280587
/watch?v=urXsxVkPUM4&pp=ygUNYmxhY2sgY3VsdHVyZQ%3D%3D,/@thegrio,theGrio,That time a young Barack Obama said American culture is black culture - TheGrio,225K,9 years,That time a young Barack Obama said American culture is black culture and has to be 'affirmed.' Please share!,2026-01-22 01:01:38.281631
/watch?v=4Q_bN0YFcTQ&pp=ygUNYmxhY2sgY3VsdHVyZQ%3D%3D,/@Tinashe_Peter,Tinashe Peter,"This is Why ""BLACK CULTURE"" is DOOMED!...(Enabling BAD Behavior)",15K,4 months,"If you'd like to support the channel   *""Buy Me a Coffee""* to donate to the mission... https://www.buymeacoffee.com/aquariuswaive ...",2026-01-22 01:01:38.282672
/watch?v=vC4ked8-1I8&pp=ygUNYmxhY2sgY3VsdHVyZQ%3D%3D,/@HypePlusTV,HYPE+,"'Black People' Admit ‘Rap Fatigue’ After New Generation Of Rap: ""You Can't Rap!""  - HP News",79K,2 months,"This Hype Plus News break is sponsored by Aura, ( https://aura.com/hypeplus ), enjoy a free two-week trial to start protecting your ...",2026-01-22 01:01:45.057237
/shorts/BUs9Wpb5nng,/@blackstarnetwork,Black Star Network,"Centering Black Pain, Honoring Culture: The Fight for Liberation #shorts",No,1 day,Roland and his panel explores the importance of recognizing the historical trauma of African Americans. It challenges assimilation ...,2026-01-22 01:01:45.058768
/shorts/KX9Sjen3P1c,/@FoxSoul,FOX Soul,Is Ratchet Culture Taking Over Black Culture? | McMillan & Morrow,5.2K,2 years,SUBSCRIBE to FOX SOUL on YouTube!! www.youtube.com/c/FoxSoul?sub_confirmation=1 WATCH LIVE & EXPLORE ...,2026-01-22 01:01:45.060171
