video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/shorts/HW9O7biW1GI,/@AfricanAncestryDNA,African Ancestry,It's ALWAYS been about Black identity & empowerment,1.7K,3 months,"In case you needed a reminder, or you're new here...THIS is why we started African Ancestry over 22 years ago.",2026-01-22 01:03:23.727052
/watch?v=NLH9OUSkG6I&pp=ygUOYmxhY2sgaWRlbnRpdHk%3D,/@CounterTerrorismRollCall,Counter-Terrorism Roll Call,Black Identity Extremists Targeting Law Enforcement Officers (an FBI Intelligence Assessment),712,8 years,This video provides law enforcement officers with an overview of the FBI intelligence assessment titled - Black Identity Extremists ...,2026-01-22 01:03:23.729150
/watch?v=71u1syDMgK8&pp=ygUOYmxhY2sgaWRlbnRpdHnSBwkJhwoBhyohjO8%3D,/@Bloomberg-News,Bloomberg News,Trump Questions Harris’ Embrace of Black Identity at NABJ Event,36K,1 year,Republican nominee Donald Trump questioned Vice President Kamala Harris' racial identity at a contentious roundtable with ...,2026-01-22 01:03:23.730578
/watch?v=B1OIzpNOqJg&pp=ygUOYmxhY2sgaWRlbnRpdHnSBwkJhwoBhyohjO8%3D,/@Tirrrb,Tirrrb,Reframing Black Identity,46K,3 years,Thank you to @ForeignManinaForeignLand and @harriyanna for helping me with this video!!!! https://www.patreon.com/Tirrrb ...,2026-01-22 01:03:23.732337
/watch?v=KwHDabCQ6Bw&list=RDKwHDabCQ6Bw&start_radio=1&pp=ygUOYmxhY2sgaWRlbnRpdHmgBwE%3D,/@QlimaXtheSecound,Barrel,Black Identity - Blacker Than Black,48K,17 years,Sensation Black Anthem.,2026-01-22 01:03:23.735293
/watch?v=ype_rzvZGfI&pp=ygUOYmxhY2sgaWRlbnRpdHk%3D,/@DailyWirePlus,DailyWire+,Black Panther Showcases Identity Politics,140K,7 years,Ben Shapiro responds to the media frenzy over the upcoming Black Panther movie.,2026-01-22 01:03:23.736545
/watch?v=3ZHeXYvNgKA&pp=ygUOYmxhY2sgaWRlbnRpdHk%3D,/@Unfilteredgrounds,Unfiltered Grounds,Who owns blackness? Gatekeeping black identity!,46,4 months,"African-American community, what makes you think you own Blackness? What makes you think Africans, Caribbean, or other ...",2026-01-22 01:03:23.738780
/shorts/PzfGrw8ogiw,/@Blackworldblackhistory,BWBH,Black Identity Vs US Government Classification''  #blackhistory #america #blackamerica #shorts,162K,1 month,"Mostafa Hefny, a Nubian Egyptian, was forced by U.S. immigration officials to classify himself as White in 1978, despite identifying ...",2026-01-22 01:03:23.740422
/shorts/MX4IkBqCfzg,/@Freedominyeshuaministries,Freedom In Yeshua Ministries ,Stop Seeking White Approval: Black Identity Crisis Explained,2.6K,5 months,We explore the complexities of Black identity in the face of systemic issues. Our video confronts the impact of seeking external ...,2026-01-22 01:03:23.741736
/shorts/61p1XsLUi04,/@Blackworldblackhistory,BWBH,Raven-Symoné on Black Identity and What It Means to Be American'' #blackhistory  #america #shorts,20K,6 days,"This clip from The View (2014) shows Raven-Symoné explaining why she identifies as Black and American, but not ...",2026-01-22 01:03:23.743475
/watch?v=ugRbiTf3km0&pp=ygUOYmxhY2sgaWRlbnRpdHk%3D,/@BlackySpeakz,BlackySpeakz,Why Everyone Is Wrong About Tyla’s Identity,83K,5 months,"... the differences between American and South African views on race, and why Black identity is not a monolith or one-dimensional ...",2026-01-22 01:03:23.751826
/shorts/03LIcCDXa0g,/@Freedominyeshuaministries,Freedom In Yeshua Ministries ,"Unveiling Hidden Truth: Black Identity, Racism & History",1.1K,6 months,The history of racism and the manipulation of identity revealed! Discover how the 18th-century racial classifications obscured the ...,2026-01-22 01:03:23.753221
/watch?v=eXeacU-VJUA&pp=ygUOYmxhY2sgaWRlbnRpdHk%3D,/@turningpointusa,Turning Point USA,Candace Owens DESTROYS Identity Politics | The Difference Between Identity vs. Identity Politics,78K,5 years,"In this clip from Turning Point USA, Candace Owens explains the difference between identity vs. identity politics and why it's ...",2026-01-22 01:03:23.756129
/shorts/Y3q9s9m7peM,/@TheNewBlackFreedomMovement,The New Black Freedom Movement,Embracing Black Identity and Purpose,626,6 months,A short showing the possibilities of Black life in America.,2026-01-22 01:03:23.758164
